place,original_lat,original_lng,id,thumb_2048_url,detections,altitude,atomic_scale,camera_parameters,camera_type,captured_at,compass_angle,computed_altitude,computed_compass_angle,computed_geometry,computed_rotation,creator,exif_orientation,geometry,height,is_pano,make,model,thumb_256_url,thumb_1024_url,thumb_original_url,merge_cc,mesh,sequence,sfm_cluster,width
Michigan Stadium,42.2643255,-83.7487586,750488575642161,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An-yI7cz9ljb24JNZtMpcdWDLLWfXarIrxlo3lTvLdisV4wn_udp7ygaptVQHukymmPoapqChoT8KtiXWJN7HzwfB1trMoRRbL56DOJmqjiZMmG_gtZ7swP1nWrOPLzBr3WXmncF_ZG9sJZPut-2nA?stp=s2048x1536&ccb=10-5&oh=00_AYD8v_D-qmYiszXvBrvqto4jUKyXw5DPbC2EuDF6MITxZw&oe=6773317C&_nc_sid=201bca,{'data': [{'id': '754865111871174'}]},268.35404,0.98338554116264,"[0.79840165716813, 0.042646204289771, -0.062577910384443]",perspective,1524432162185,87.68408203125,261.35254567768,103.69052845904,"{'type': 'Point', 'coordinates': [-83.748323956525, 42.264347160276]}","[1.0611731104598, -1.3544627623699, 1.4005091281892]","{'username': 'plumgarden', 'id': '102323478679169'}",1,"{'type': 'Point', 'coordinates': [-83.748504538167, 42.264238838146]}",3024,False,Apple,iPhone,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An-yI7cz9ljb24JNZtMpcdWDLLWfXarIrxlo3lTvLdisV4wn_udp7ygaptVQHukymmPoapqChoT8KtiXWJN7HzwfB1trMoRRbL56DOJmqjiZMmG_gtZ7swP1nWrOPLzBr3WXmncF_ZG9sJZPut-2nA?stp=s256x192&ccb=10-5&oh=00_AYD3qkhud4oCKiPujOThSwiB_Zy4LQ3TFXSXSig9C692Rw&oe=6773317C&_nc_sid=201bca,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An-yI7cz9ljb24JNZtMpcdWDLLWfXarIrxlo3lTvLdisV4wn_udp7ygaptVQHukymmPoapqChoT8KtiXWJN7HzwfB1trMoRRbL56DOJmqjiZMmG_gtZ7swP1nWrOPLzBr3WXmncF_ZG9sJZPut-2nA?stp=s1024x768&ccb=10-5&oh=00_AYCIc1mZoNCKUGrHd-27IzXzxR6HL_EiSfUaGxwZhLRQbQ&oe=6773317C&_nc_sid=201bca,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An-yI7cz9ljb24JNZtMpcdWDLLWfXarIrxlo3lTvLdisV4wn_udp7ygaptVQHukymmPoapqChoT8KtiXWJN7HzwfB1trMoRRbL56DOJmqjiZMmG_gtZ7swP1nWrOPLzBr3WXmncF_ZG9sJZPut-2nA?ccb=10-5&oh=00_AYD109BqASqzhrHdpjFZ-6rgkUPPR6QA9Ot-a9r0dMeScA&oe=6773317C&_nc_sid=201bca,1.0724210576021e+18,"{'id': '1139231069896096', 'url': 'https://scontent-ord5-1.xx.fbcdn.net/m1/v/t0.40361-6/An86ekelKtJ8Eg_hFVJ7Kts3zI-eAwmARt10GLy0pI8HrYHPyFb0lbV7m097ZbHi26KZdAT5YLXo0rxrrl9umaNkjsEcPVjfsQv-rpJvUEyO1OeG9AS_oUmbXe5q9tkapuEZ?ccb=10-5&oh=00_AYDzEVMTXk9_-erHXk5PH2zxdbNw6vYIHLGtpLSP7KInDg&oe=67732118&_nc_sid=5e042c'}",4jLb2pU0fZToLXDuM5rBRA,"{'id': '440526673923818', 'url': 'https://scontent-ord5-1.xx.fbcdn.net/m1/v/t0.40383-6/An-2utq-mp-39dmzNldpGvv6ap5H42GVvqMoLAxXPSAaBdAlTw7it_UkjVqEZ5vYBL_5J_LYgxTYrgBdmraxPqZcklLfQXZ2mA2dDwIpYFJuRl4t-FpXcfaJ807qYieh1rLm-yINsho61g?ccb=10-5&oh=00_AYAx94786FIMuVv3O330G5YpxAxs4rVTUm3HbfShHK638g&oe=67732F72&_nc_sid=fbd883'}",4032
Weiser Hall,42.2766767,-83.7357508,1211602290023724,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An8RGWth6OKBuRoBJa6jqsQm8AltIi56sXMXIJgSfrL5IgghDlMzEz7yiwyot9D4ceTKe2h8mG6o-HpO8Z44AijpcYRvNmgCkium3AK0bJ3NX_B5t-MLDi5h4p-rkF5y2TbDS-uM6c4_trenjp7Q8xs?stp=s2048x1536&ccb=10-5&oh=00_AYB5vERfl2u0GYUK5w_PB9B5T2n8aZ41gAOIVd6K0AYocg&oe=6773020D&_nc_sid=201bca,"{'data': [{'id': '1211663950017558'}, {'id': '1211663953350891'}, {'id': '1211663956684224'}, {'id': '1211663960017557'}, {'id': '1211663963350890'}, {'id': '1211663966684223'}, {'id': '1211663970017556'}, {'id': '1211663973350889'}, {'id': '1211663976684222'}, {'id': '1211663980017555'}, {'id': '1211663983350888'}, {'id': '1211663986684221'}, {'id': '1211663990017554'}, {'id': '1211663993350887'}, {'id': '1211663996684220'}, {'id': '1211664000017553'}, {'id': '1211664003350886'}, {'id': '1211664006684219'}, {'id': '1211664010017552'}, {'id': '1211664013350885'}, {'id': '1211664016684218'}, {'id': '1211664020017551'}, {'id': '1211664023350884'}, {'id': '1211664026684217'}, {'id': '1211664030017550'}, {'id': '1211664033350883'}, {'id': '1211664036684216'}, {'id': '1211664040017549'}, {'id': '1211664043350882'}, {'id': '1211664046684215'}, {'id': '1211664050017548'}, {'id': '1211664053350881'}, {'id': '1211664056684214'}, {'id': '1211664060017547'}, {'id': '1211664063350880'}, {'id': '1211664066684213'}, {'id': '1211664070017546'}, {'id': '1211664073350879'}, {'id': '1211664076684212'}, {'id': '1211664080017545'}, {'id': '1211664083350878'}, {'id': '1211664086684211'}, {'id': '1211664090017544'}, {'id': '1211664093350877'}, {'id': '1211664096684210'}, {'id': '1211664100017543'}, {'id': '1211664103350876'}, {'id': '1211664106684209'}, {'id': '1211664110017542'}, {'id': '1211664113350875'}, {'id': '1211664116684208'}, {'id': '1211664120017541'}, {'id': '1211664123350874'}, {'id': '1211664126684207'}, {'id': '1211664130017540'}, {'id': '1211664133350873'}, {'id': '1211664136684206'}, {'id': '1211664140017539'}, {'id': '1211664143350872'}, {'id': '1211664146684205'}, {'id': '1211664150017538'}, {'id': '1211664153350871'}, {'id': '1211664156684204'}, {'id': '1211664160017537'}, {'id': '1211664163350870'}, {'id': '1211664166684203'}, {'id': '1211664170017536'}, {'id': '1211664173350869'}, {'id': '1211664176684202'}, {'id': '1211664180017535'}, {'id': '1211664183350868'}, {'id': '1211664186684201'}, {'id': '1211664190017534'}, {'id': '1211664193350867'}, {'id': '1211664196684200'}, {'id': '1211664200017533'}, {'id': '1211664203350866'}, {'id': '1211664206684199'}, {'id': '1211664210017532'}, {'id': '1211664213350865'}, {'id': '1211664216684198'}, {'id': '1211664220017531'}, {'id': '1211664223350864'}, {'id': '1211664226684197'}, {'id': '1211664233350863'}, {'id': '1211664236684196'}, {'id': '1211664240017529'}, {'id': '1211664243350862'}, {'id': '1211664246684195'}, {'id': '1211664250017528'}, {'id': '1211664253350861'}, {'id': '1211664256684194'}, {'id': '1211664260017527'}, {'id': '1211664263350860'}, {'id': '1211664266684193'}, {'id': '1211664270017526'}, {'id': '1211664273350859'}, {'id': '1211664276684192'}, {'id': '1211664280017525'}, {'id': '1211664283350858'}, {'id': '1211664286684191'}, {'id': '1211664290017524'}, {'id': '1211664293350857'}, {'id': '1211664296684190'}, {'id': '1211664300017523'}, {'id': '1211664303350856'}, {'id': '1211664306684189'}, {'id': '1211664310017522'}, {'id': '1211664313350855'}, {'id': '1211664316684188'}, {'id': '1211664320017521'}, {'id': '1211664323350854'}, {'id': '1211664326684187'}, {'id': '1211664330017520'}, {'id': '1211664333350853'}, {'id': '1211664336684186'}, {'id': '1211664340017519'}, {'id': '1211664343350852'}, {'id': '1211664346684185'}, {'id': '1211664350017518'}, {'id': '1211664353350851'}, {'id': '1211664356684184'}, {'id': '1211664360017517'}, {'id': '1211664363350850'}, {'id': '1211664366684183'}, {'id': '1211664370017516'}, {'id': '1211664373350849'}, {'id': '1211664376684182'}, {'id': '1211664380017515'}, {'id': '1211664383350848'}, {'id': '1211664386684181'}, {'id': '1211664390017514'}, {'id': '1211664393350847'}, {'id': '1211664396684180'}, {'id': '1211664400017513'}, {'id': '1211664403350846'}, {'id': '1211664406684179'}, {'id': '1211664410017512'}, {'id': '1211664413350845'}, {'id': '1211664416684178'}, {'id': '1211664420017511'}, {'id': '1211664423350844'}, {'id': '1211664426684177'}, {'id': '1211664430017510'}, {'id': '1211664433350843'}, {'id': '1211664436684176'}, {'id': '1211664440017509'}, {'id': '1211664443350842'}, {'id': '1211664446684175'}, {'id': '1211664450017508'}, {'id': '1211664453350841'}, {'id': '1211664456684174'}, {'id': '1211664460017507'}, {'id': '1211664463350840'}, {'id': '1211664466684173'}, {'id': '1211664470017506'}, {'id': '1211664473350839'}, {'id': '1211664476684172'}, {'id': '1211664480017505'}, {'id': '1211664483350838'}, {'id': '1211664486684171'}, {'id': '1211664490017504'}, {'id': '1211664493350837'}, {'id': '1211664496684170'}, {'id': '1211664500017503'}, {'id': '1211664503350836'}, {'id': '1211664506684169'}, {'id': '1211664510017502'}, {'id': '1211664513350835'}, {'id': '1211664516684168'}, {'id': '1211664520017501'}, {'id': '1211664523350834'}, {'id': '1211664526684167'}, {'id': '1211664530017500'}, {'id': '1211664533350833'}, {'id': '1211664536684166'}, {'id': '1211664540017499'}, {'id': '1211664543350832'}, {'id': '1211664546684165'}, {'id': '1211664550017498'}, {'id': '1211664553350831'}, {'id': '1211664556684164'}, {'id': '1211664560017497'}, {'id': '1211664563350830'}, {'id': '1211664566684163'}, {'id': '1211664570017496'}, {'id': '1211664573350829'}, {'id': '1211664576684162'}, {'id': '1211664580017495'}, {'id': '1211664583350828'}, {'id': '1211664586684161'}, {'id': '1211664590017494'}, {'id': '1211664593350827'}, {'id': '1211664596684160'}, {'id': '1211664600017493'}, {'id': '1211664603350826'}, {'id': '1211664606684159'}, {'id': '1211664610017492'}, {'id': '1211664613350825'}, {'id': '1211664616684158'}, {'id': '1211664620017491'}, {'id': '1211664623350824'}, {'id': '1211664626684157'}, {'id': '1211664630017490'}, {'id': '1211664633350823'}, {'id': '1211664636684156'}, {'id': '1211664640017489'}, {'id': '1211664643350822'}, {'id': '1211664646684155'}, {'id': '1211664650017488'}, {'id': '1211664653350821'}, {'id': '1211664656684154'}, {'id': '1211664660017487'}, {'id': '1211664663350820'}, {'id': '1211664666684153'}, {'id': '1211664670017486'}, {'id': '1211664673350819'}, {'id': '1211664676684152'}, {'id': '1211664680017485'}, {'id': '1211664683350818'}, {'id': '1211664690017484'}, {'id': '1211664693350817'}, {'id': '1211664696684150'}, {'id': '1211664700017483'}, {'id': '1211664703350816'}, {'id': '1211664706684149'}, {'id': '1211664710017482'}, {'id': '1211664713350815'}, {'id': '1211664716684148'}, {'id': '1211664720017481'}, {'id': '1211664723350814'}, {'id': '1211664726684147'}, {'id': '1211664730017480'}, {'id': '1211664733350813'}, {'id': '1211664736684146'}, {'id': '1211664740017479'}, {'id': '1211664743350812'}, {'id': '1211664746684145'}, {'id': '1211664750017478'}, {'id': '1211664753350811'}, {'id': '1211664756684144'}, {'id': '1211664760017477'}, {'id': '1211664763350810'}, {'id': '1211664766684143'}, {'id': '1211664770017476'}, {'id': '1211664773350809'}, {'id': '1211664776684142'}, {'id': '1211664780017475'}, {'id': '1211664783350808'}, {'id': '1211664786684141'}, {'id': '1211664790017474'}, {'id': '1211664793350807'}, {'id': '1211664796684140'}, {'id': '1211664800017473'}, {'id': '1211664803350806'}, {'id': '1211664806684139'}, {'id': '1211664810017472'}, {'id': '1211664813350805'}, {'id': '1211664816684138'}, {'id': '1211664820017471'}, {'id': '1211664823350804'}, {'id': '1211664826684137'}, {'id': '1211664830017470'}, {'id': '1211664833350803'}, {'id': '1211664836684136'}, {'id': '1211664840017469'}, {'id': '1211664843350802'}, {'id': '1211664846684135'}, {'id': '1211664850017468'}, {'id': '1211664853350801'}, {'id': '1211664856684134'}, {'id': '1211664860017467'}, {'id': '1211664863350800'}, {'id': '1211664866684133'}, {'id': '1211664870017466'}, {'id': '1211664873350799'}, {'id': '1211664880017465'}, {'id': '1211664883350798'}, {'id': '1211664886684131'}, {'id': '1211664890017464'}, {'id': '1211664893350797'}, {'id': '1211664896684130'}, {'id': '1211664900017463'}, {'id': '1211664903350796'}, {'id': '1211664906684129'}, {'id': '1211664910017462'}, {'id': '1211664913350795'}, {'id': '1211664916684128'}, {'id': '1211664920017461'}, {'id': '1211664923350794'}, {'id': '1211664926684127'}, {'id': '1211664930017460'}, {'id': '1211664933350793'}, {'id': '1211664936684126'}, {'id': '1211664940017459'}, {'id': '1211664943350792'}, {'id': '1211664946684125'}, {'id': '1211664950017458'}, {'id': '1211664953350791'}, {'id': '1211664956684124'}, {'id': '1211664960017457'}, {'id': '1211664963350790'}, {'id': '1211664966684123'}, {'id': '1211664970017456'}, {'id': '1211664973350789'}, {'id': '1211664976684122'}, {'id': '1211664980017455'}]}",0.0,1.0354990744207,"[0.69655012544254, 0.019845375662482, -0.011536171208609]",perspective,1718730421158,180.0,268.62977587618,176.64438898517,"{'type': 'Point', 'coordinates': [-83.73579399371, 42.276331601537]}","[0.061379602399261, -2.2690222098966, 2.1093879381003]","{'username': 'Technotion', 'id': '775992708024440'}",1,"{'type': 'Point', 'coordinates': [-83.7357881, 42.2763229]}",3072,False,Nothing,A065,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An8RGWth6OKBuRoBJa6jqsQm8AltIi56sXMXIJgSfrL5IgghDlMzEz7yiwyot9D4ceTKe2h8mG6o-HpO8Z44AijpcYRvNmgCkium3AK0bJ3NX_B5t-MLDi5h4p-rkF5y2TbDS-uM6c4_trenjp7Q8xs?stp=s256x192&ccb=10-5&oh=00_AYALE_TfReRr4FBfedNJxOk1dpYBD9VjWLQgxiVtX-G0RA&oe=6773020D&_nc_sid=201bca,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An8RGWth6OKBuRoBJa6jqsQm8AltIi56sXMXIJgSfrL5IgghDlMzEz7yiwyot9D4ceTKe2h8mG6o-HpO8Z44AijpcYRvNmgCkium3AK0bJ3NX_B5t-MLDi5h4p-rkF5y2TbDS-uM6c4_trenjp7Q8xs?stp=s1024x768&ccb=10-5&oh=00_AYA2P6Fd8EaqIyOntHYmpcPHrXbv2tvRz0iKXIgpR9Z_FQ&oe=6773020D&_nc_sid=201bca,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An8RGWth6OKBuRoBJa6jqsQm8AltIi56sXMXIJgSfrL5IgghDlMzEz7yiwyot9D4ceTKe2h8mG6o-HpO8Z44AijpcYRvNmgCkium3AK0bJ3NX_B5t-MLDi5h4p-rkF5y2TbDS-uM6c4_trenjp7Q8xs?ccb=10-5&oh=00_AYBa63ci-ssmcz1eiVCCCEjK5cRTzvPFnFnm23V_MQMmHw&oe=6773020D&_nc_sid=201bca,1073508736.0,"{'id': '1208025853555941', 'url': 'https://scontent-ord5-1.xx.fbcdn.net/m1/v/t0.40361-6/An-9i5ENUUvVBaS4uuGAZJg0OeKEdU3uF6njyptW7WEV6l0TttrYCFkOSQPmJp7kV_GEgS-IpcS0YG67RSDKZyb8Sl1WaT17jl4SthSDxJxJL2rbymabMi2olrwPvLa-rKxJ?ccb=10-5&oh=00_AYDtbnAnyhuKJ3g0qS9pWxhbAQnd_cw0epEfyYJsqg2h1w&oe=6773190A&_nc_sid=5e042c'}",cpMIl6U7ejV21SvCDs39PE,"{'id': '1195242535159637', 'url': 'https://scontent-ord5-1.xx.fbcdn.net/m1/v/t0.40383-6/An_fpwsq-VDCXk19-_BttJwu15Xb-lzYSMbbO_67E8ZnrPt8DwTYePiiMk-Bz5aMAjd3jCejeVSv29h8QM632lruG8AQ8VU_QPJHMZEztQIVap2ZzQTbFSHPHLwXJ_wfkm_ptf24sumS?ccb=10-5&oh=00_AYCUN7fuvwFf2ZIUow9Z-inRn-Igq1DcBrc1ski--P2vkg&oe=67730A98&_nc_sid=fbd883'}",4096
AA District Library,42.2781038,-83.7461877,1707826312737394,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An84iJcg8_VVFFGtYbY7kJk49_uqCPCfDzdWbq2xF3-4cebDw1AlrHnXC3GfzAqPKGDKey8BNM4BQpLFbXjVxGG2ZMWDmUbFBgYEOiS0foCQx9IEggCR7IrK6DhXUcMAjxA-ctIadU3qRLCJT_3kAaw?stp=s2048x1536&ccb=10-5&oh=00_AYCow3EE46hlXpWIkbErA4s2bvmpUqV5jftpe6ULuyOTqg&oe=67730F0B&_nc_sid=201bca,,264.310276,1.0641987963167,"[0.83404401407222, 0.038434361370561, -0.059780998471116]",perspective,1520802911288,181.53051757812,262.72192830127,183.97132270207,"{'type': 'Point', 'coordinates': [-83.746254994953, 42.277641856058]}","[0.12025599630732, 1.9886288345459, -2.4112916918255]","{'username': 'plumgarden', 'id': '102323478679169'}",1,"{'type': 'Point', 'coordinates': [-83.746266737658, 42.277733408885]}",3024,False,Apple,iPhone,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An84iJcg8_VVFFGtYbY7kJk49_uqCPCfDzdWbq2xF3-4cebDw1AlrHnXC3GfzAqPKGDKey8BNM4BQpLFbXjVxGG2ZMWDmUbFBgYEOiS0foCQx9IEggCR7IrK6DhXUcMAjxA-ctIadU3qRLCJT_3kAaw?stp=s256x192&ccb=10-5&oh=00_AYAeFLeDKvWF0APji-hcNjSdWml90u0zFTiXtRPoGlPQpg&oe=67730F0B&_nc_sid=201bca,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An84iJcg8_VVFFGtYbY7kJk49_uqCPCfDzdWbq2xF3-4cebDw1AlrHnXC3GfzAqPKGDKey8BNM4BQpLFbXjVxGG2ZMWDmUbFBgYEOiS0foCQx9IEggCR7IrK6DhXUcMAjxA-ctIadU3qRLCJT_3kAaw?stp=s1024x768&ccb=10-5&oh=00_AYDHbevbAzEaRzYRep1AeFfk0bw5FOTjFsTvXMLBM2J6UA&oe=67730F0B&_nc_sid=201bca,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An84iJcg8_VVFFGtYbY7kJk49_uqCPCfDzdWbq2xF3-4cebDw1AlrHnXC3GfzAqPKGDKey8BNM4BQpLFbXjVxGG2ZMWDmUbFBgYEOiS0foCQx9IEggCR7IrK6DhXUcMAjxA-ctIadU3qRLCJT_3kAaw?ccb=10-5&oh=00_AYAivJeWy46MEJ4RP865pAx0mUicYCKgVdT2YL_3d2se-w&oe=67730F0B&_nc_sid=201bca,1.3119921440357e+18,"{'id': '868777133702123', 'url': 'https://scontent-ord5-1.xx.fbcdn.net/m1/v/t0.40361-6/An8y-jjHWbCLtA521OWog8MMisAcpvTg-GpNn192zGSAXrDqA53VWadLkqCCk5PGWc-_92cFqmRBbtU5TPmQBKJ8dDe2-TXN3ubPXTJLrYkkLkRhaYfoBn0ULTXnipdL33I?ccb=10-5&oh=00_AYA_9Fes7Nkt6AphWib9fmRNrZcL99t74xisoFNFIKc8kg&oe=6773327C&_nc_sid=5e042c'}",RYiq_8y1x9js0UESN-3Mvg,{'id': '528141534846851'},4032
Michigan Theater,42.2795045,-83.7417636,3895194020574724,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An-KB2x6uspsO_qLmd9nJWwHSJnF6cFO1iqHMmJiO8HqDe3803p8ymL87p1AI3zkGFZN4iReH0j7KBn1SaO1ax5gT5gER22BzyAGWFMhjUwMcH2p_ndjSYuLYExwXuBlN2A8KhvZgAhvrZ3UqnElyw?stp=s2048x1536&ccb=10-5&oh=00_AYB53Yic66x4ncJ1ZTqVD02mSmXBOm9qif8vurHeaswsrw&oe=677308B8&_nc_sid=201bca,"{'data': [{'id': '3925885987505527'}, {'id': '3926172187476907'}, {'id': '3930140900413369'}]}",272.873257,0.76669281205467,"[0.85036270657568, 0.045759434806562, -0.053752292242355]",perspective,1533504805862,310.27856445312,268.3846872123,348.80606496472,"{'type': 'Point', 'coordinates': [-83.741863875398, 42.27918230693]}","[1.6676703221202, 0.071784812077093, -0.23073140872212]","{'username': 'plumgarden', 'id': '102323478679169'}",1,"{'type': 'Point', 'coordinates': [-83.742229929272, 42.279247599693]}",3024,False,Apple,iPhone,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An-KB2x6uspsO_qLmd9nJWwHSJnF6cFO1iqHMmJiO8HqDe3803p8ymL87p1AI3zkGFZN4iReH0j7KBn1SaO1ax5gT5gER22BzyAGWFMhjUwMcH2p_ndjSYuLYExwXuBlN2A8KhvZgAhvrZ3UqnElyw?stp=s256x192&ccb=10-5&oh=00_AYByZNgEFuprfmPS93Jhve6x__dOjHqRUrGQovSWSb7BBg&oe=677308B8&_nc_sid=201bca,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An-KB2x6uspsO_qLmd9nJWwHSJnF6cFO1iqHMmJiO8HqDe3803p8ymL87p1AI3zkGFZN4iReH0j7KBn1SaO1ax5gT5gER22BzyAGWFMhjUwMcH2p_ndjSYuLYExwXuBlN2A8KhvZgAhvrZ3UqnElyw?stp=s1024x768&ccb=10-5&oh=00_AYB5PWuqHxMQHVp3DAoKdnw4uxJVUtfqj7D94WS_6c4E5Q&oe=677308B8&_nc_sid=201bca,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An-KB2x6uspsO_qLmd9nJWwHSJnF6cFO1iqHMmJiO8HqDe3803p8ymL87p1AI3zkGFZN4iReH0j7KBn1SaO1ax5gT5gER22BzyAGWFMhjUwMcH2p_ndjSYuLYExwXuBlN2A8KhvZgAhvrZ3UqnElyw?ccb=10-5&oh=00_AYDTXfF8kXCo8vuu4XcSf4EY_66SUBhjNu61hIcEwUrXXQ&oe=677308B8&_nc_sid=201bca,3.992985200543e+18,"{'id': '3874002442689430', 'url': 'https://scontent-ord5-1.xx.fbcdn.net/m1/v/t0.40361-6/An_WlPVNrfh2uqveRMi5-mkK6cTU0jt-hfZE0LZRsO7QN6bUoCxKWSuI7JmVSPWzwECI3YyexUZy0sCXHNPgN-a4jrKC1w5agFTDBHiBVkcWLbCAFq-jiF8nDFe-IAtU08g-?ccb=10-5&oh=00_AYDwmtJns3o3LUpL9AcIvfYpU78sz0Rr3qki0dTsXSw5pg&oe=67730B58&_nc_sid=5e042c'}",6y9wqh7eQ8aZ0q949f5Q9g,{'id': '1935636183243676'},4032
DJ's Bakery,42.2451094,-83.6995369,368914224549966,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An9NQTrpVKj40usu5h6ATHo243jTDj_bPv4HfbpqcQx-kkrudEokMwxlDyXdgVScNPcxYJeNCnycKj2dqU1kImcFjoWNU16EXWINeJU4ZwEWkL78gZTx23tAvPRheZpPeA4VK3n5BmpIyqzNL12GVw?stp=s2048x1536&ccb=10-5&oh=00_AYCLVyOwtg26glz0M2jX-T3PRlhJ6W0p9j4wpA-V7u9vfQ&oe=67731C64&_nc_sid=201bca,"{'data': [{'id': '372668764174512'}, {'id': '372743610833694'}, {'id': '374207904020598'}, {'id': '374318740676181'}, {'id': '374341567340565'}, {'id': '374385444002844'}, {'id': '374393974001991'}, {'id': '374463783995010'}]}",251.078282,1.0335594650017,"[1.1237743320953, 0.037757622355977, -0.057831971321254]",perspective,1544923799086,90.403259277344,252.23672565352,91.64825941551,"{'type': 'Point', 'coordinates': [-83.699718835214, 42.245048917489]}","[1.0936118392637, -1.1291028980685, 1.2905035186879]","{'username': 'plumgarden', 'id': '102323478679169'}",1,"{'type': 'Point', 'coordinates': [-83.699786402363, 42.245046668725]}",3024,False,Apple,iPhone,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An9NQTrpVKj40usu5h6ATHo243jTDj_bPv4HfbpqcQx-kkrudEokMwxlDyXdgVScNPcxYJeNCnycKj2dqU1kImcFjoWNU16EXWINeJU4ZwEWkL78gZTx23tAvPRheZpPeA4VK3n5BmpIyqzNL12GVw?stp=s256x192&ccb=10-5&oh=00_AYCFzOjTOcd6NFs8b5NLJFrLP_v_wIYeRIxfeBzA_Z3muw&oe=67731C64&_nc_sid=201bca,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An9NQTrpVKj40usu5h6ATHo243jTDj_bPv4HfbpqcQx-kkrudEokMwxlDyXdgVScNPcxYJeNCnycKj2dqU1kImcFjoWNU16EXWINeJU4ZwEWkL78gZTx23tAvPRheZpPeA4VK3n5BmpIyqzNL12GVw?stp=s1024x768&ccb=10-5&oh=00_AYBZkjEfG5SDuFnPUhUoDvsKUyHf70jc2y6-HfQWNi-NGA&oe=67731C64&_nc_sid=201bca,https://scontent-ord5-1.xx.fbcdn.net/m1/v/t6/An9NQTrpVKj40usu5h6ATHo243jTDj_bPv4HfbpqcQx-kkrudEokMwxlDyXdgVScNPcxYJeNCnycKj2dqU1kImcFjoWNU16EXWINeJU4ZwEWkL78gZTx23tAvPRheZpPeA4VK3n5BmpIyqzNL12GVw?ccb=10-5&oh=00_AYDJrXMJUNL0CsELp_rN83wiePwZx_TVKD-_TyMRr7rLkg&oe=67731C64&_nc_sid=201bca,1.5025361967882e+18,"{'id': '1876761545834465', 'url': 'https://scontent-ord5-1.xx.fbcdn.net/m1/v/t0.40361-6/An_axtaaRYnXguPCiLj1hErB0_XJzkiTjDXJOYWnojlHrKJX7ZUPwY4gvkPRBe6GirSnFszm-24GvAlNMnBY1sUmDYmg3yekZF7ur_JaRtE4l4R4FJgX4VSgpqrDO7qe2Xnj?ccb=10-5&oh=00_AYB-69CYB77tQ0Uxma8y4bU1W4TVl0bbhCxJxKKRHpdm4g&oe=67731453&_nc_sid=5e042c'}",1GQXs9YWRPWSBGBU_CBOjw,"{'id': '537720147402323', 'url': 'https://scontent-ord5-1.xx.fbcdn.net/m1/v/t0.40383-6/An9c0sQ6ziG7VNZimxhWge_oOS-KDceO1Mc1TXsz9XO3NuR-5zh5dVEPAox21jdZnsgKG04wUUHVExpj0-YPE5-9NUwB5pwALSwbIWkpNcvfSD0l8MvWxEupiSa_g_3M9O4zTXKRXpZH?ccb=10-5&oh=00_AYCo12j4gMGvxd4B_G3wgYuqM6cs1WeGeizU7Nbw07W7OA&oe=6773205D&_nc_sid=fbd883'}",4032
